code,francais,latin,strate
BOJ,Bouleau jaune,Betula alleghaniensis (lutea),"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
BOP,Bouleau à papier,Betula papyrifera,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
BOV,Botryche de Virginie,Botrychium virginianum,"FOUGÈRES, PRÊLES ET LYCOPODES (STRATE 22)"
CAB,Calypso bulbeux,Calypso bulbosa,LATIFOLIÉS (STRATE 21)
CAC,Caryer cordiforme,Carya cordiformis,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
CAF,Caryer à fruits doux (caryer ovale),Carya ovata,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
CAL,Cassandre caliculé,Cassandra calyculata (Chamaedaphne calyculata),"ESPÈCES NON COMMERCIALES ÉRICACÉES (STRATES 30, 34, 40, 50, 60)"
CAP,Populage des marais,Caltha palustris,LATIFOLIÉS (STRATE 21)
CAR,Charme de Caroline,Carpinus caroliniana,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
CAT,Caulophylle faux pigamon,Caulophyllum thalictroides,LATIFOLIÉS (STRATE 21)
CAX,"Carex, laîches",Carex sp.,GRAMINOIDES (STRATE 23)
CEO,Micocoulier occidental,Celtis occidentalis,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
CET,Cerisier tardif,Prunus serotina,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
CHB,Chêne blanc,Quercus alba,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
CHE,Chêne bicolore,Quercus bicolor,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
CHG,Chêne à gros fruits,Quercus macrocarpa,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
CHH,Chiogène hispide,Chiogenes hispidula (Gaultheria hispidula),LATIFOLIÉS (STRATE 21)
CHL,Chrysanthème leucanthème,Chrysantemum leucantemum,LATIFOLIÉS (STRATE 21)
CHR,Chêne rouge,Quercus rubra var. borealis,"ESPÈCES COMMERCIALES (STRATES 30, 31, 32, 40, 50, 60)"
CHU,Chimaphile à ombelles,Chimaphila umbellata var. cisatlantica,LATIFOLIÉS (STRATE 21)
CIA,Circée alpine,Circaea alpina,LATIFOLIÉS (STRATE 21)
CIL,Circée de Lutèce,Circaea lutetiana,LATIFOLIÉS (STRATE 21)
CIS,Chardons,Cirsium sp.,LATIFOLIÉS (STRATE 21)
CLA,Cladines,Cladina sp.,LICHENS (STRATE 13)
CLB,Clintonie boréale,Clintonia borealis,LATIFOLIÉS (STRATE 21)
CLC,Claytonie de Caroline,Claytonia caroliniana,LATIFOLIÉS (STRATE 21)
CLD,Climacie arbustive,Climacium dendroides,MOUSSES (STRATE 11)
CLM,Cladine douce,Cladina mitis,LICHENS (STRATE 13)
CLR,Cladine rangifère,Cladina rangiferina,LICHENS (STRATE 13)
CLS,Cladonies,Cladonia sp.,LICHENS (STRATE 13)
CLT,Cladine étoilée,Cladina stellaris,LICHENS (STRATE 13)
COA,Cornouiller à feuilles alternes,Cornus alternifolia,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
COC,Noisetier à long bec,Corylus cornuta,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
COG,Coptide du Groenland,Coptis groenlandica,LATIFOLIÉS (STRATE 21)
COL,Comandre livide,Comandra livida,LATIFOLIÉS (STRATE 21)
COM,Corallorhize maculée,Corallorhiza maculata,LATIFOLIÉS (STRATE 21)
CON,Cornouiller du Canada,Cornus canadensis,LATIFOLIÉS (STRATE 21)
COP,Comptonie voyageuse,Comptonia peregrina,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
COR,Cornouiller stolonifère,Cornus stolonifera,"ESPÈCES NON COM. ET NON ÉRICACÉES (STRATES 30, 33, 34, 35, 40, 50, 60)"
